suite,condition_id,retriever,max_steps,process_feedback,quality_reweight,judge_mode,qa_count,success,judge_score,retrieval_precision,hallucination_rate,lexical_f1,exact_match,reference_episode_recall,trajectory_length,elapsed_seconds,cost_usd
main,main__bm25__steps2__judge0__quality0__modenone,bm25,2,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.311258872350058,0.0
main,main__bm25__steps2__judge0__quality1__modenone,bm25,2,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.332582950592041,0.0
main,main__bm25__steps2__judge1__quality0__modeprocess,bm25,2,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.327334324518839,0.0
main,main__bm25__steps2__judge1__quality1__modeprocess,bm25,2,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.32602055867513,0.0
main,main__bm25__steps3__judge0__quality0__modenone,bm25,3,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.38298495610555,0.0
main,main__bm25__steps3__judge0__quality1__modenone,bm25,3,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.240480264027914,0.0
main,main__bm25__steps3__judge1__quality0__modeprocess,bm25,3,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.31355595588684,0.0
main,main__bm25__steps3__judge1__quality1__modeprocess,bm25,3,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.314820289611816,0.0
main,main__bm25__steps4__judge0__quality0__modenone,bm25,4,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.304112354914347,0.0
main,main__bm25__steps4__judge0__quality1__modenone,bm25,4,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.345578829447428,0.0
main,main__bm25__steps4__judge1__quality0__modeprocess,bm25,4,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.32659880320231,0.0
main,main__bm25__steps4__judge1__quality1__modeprocess,bm25,4,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.295632282892862,0.0
main,main__embedding__steps2__judge0__quality0__modenone,embedding,2,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.309050559997559,0.0
main,main__embedding__steps2__judge0__quality1__modenone,embedding,2,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.276525100072226,0.0
main,main__embedding__steps2__judge1__quality0__modeprocess,embedding,2,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.279736916224161,0.0
main,main__embedding__steps2__judge1__quality1__modeprocess,embedding,2,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.318951288859049,0.0
main,main__embedding__steps3__judge0__quality0__modenone,embedding,3,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.287758191426596,0.0
main,main__embedding__steps3__judge0__quality1__modenone,embedding,3,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.28469967842102,0.0
main,main__embedding__steps3__judge1__quality0__modeprocess,embedding,3,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.290401061375936,0.0
main,main__embedding__steps3__judge1__quality1__modeprocess,embedding,3,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.452656666437784,0.0
main,main__embedding__steps4__judge0__quality0__modenone,embedding,4,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.310503959655762,0.0
